频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6325419020.42371,0.120551,3.06603859759346e-06,88.735564860233,0.626976185216167
6310135131.3465,0.1205913,2.95462748417272e-06,88.7221603021412,0.511250325732479
6315717260.22877,0.1222728,3.02463007343018e-06,88.5762259862272,0.39959621799308
6487919083.23833,0.1223072,3.01211092363816e-06,88.8691506173272,0.692245539683111
6310114704.69681,0.1235813,3.05234847913493e-06,88.7167230358673,0.611504893602436
6325461249.14313,0.123775,3.03991457228402e-06,88.7706610518124,0.706452751042306
6315577225.22686,0.1252078,3.05206753779116e-06,88.5781894278155,0.514988741720614
6310192251.14511,0.1266213,3.05094168016359e-06,88.7519916593215,0.691357073276465
6325562454.37908,0.126698,3.06113570415805e-06,88.7683000255236,0.753603928130058
6315693517.56877,0.1281528,2.91376042015484e-06,88.557696052373,0.613217137705535
6325560220.84947,0.129844,5.95781611759628e-06,88.7786000566388,0.76252548940882
6812265384.29225,0.1300683,3.01322230445784e-06,88.800424355306,0.448766540789232
6621313324.12436,0.1302152,2.97062649628593e-06,88.6791196812546,0.598647988267398
6812113608.18604,0.1302683,3.01881462669186e-06,88.8159920325976,0.45670007271196
6801020094.93176,0.1303072,3.04123936222053e-06,88.8394208746621,0.776505016538556
56595.2471621842,0.1303248,5.01759785639087e-06,0.0131416595025069,0.639751510429198
6940313705.7739,0.1307152,3.07821673945149e-06,88.6994802013604,0.613905817242808
6945042721.25459,0.1308072,2.97792145725063e-06,88.8611119593966,0.775353204690436
6862485575.39656,0.1308266,3.0492999501975e-06,88.7287342146546,0.642589462688632
6953299633.13117,0.1312152,3.06382848034166e-06,88.6805051814583,0.628557795294347
6670041667.01673,0.1313072,3.01880550856402e-06,88.8273120333402,0.773436212838813
6524646093.58203,0.1313266,3.08685272440645e-06,88.7277614419294,0.65598697186401
6725552708.69662,0.131652,2.9196880181099e-06,88.7504345573163,0.775208778187571
6696407277.00576,0.1317152,3.09645464178362e-06,88.6880545330847,0.642589462688632
6913956197.30694,0.1318072,3.03630673483111e-06,88.8409547186628,0.770755932823205
6925501592.96449,0.1318266,2.94564151674776e-06,88.7347275919684,0.668737101096425
6710142692.84597,0.1321493,2.90171638624609e-06,88.7373762315503,0.770699479721216
6946370740.97206,0.1322152,3.04155227189935e-06,88.6851614403477,0.65598697186401
6682041106.79455,0.1323072,3.01533231607708e-06,88.8665122762126,0.767315009756391
6918646856.40012,0.1323266,2.92261766745489e-06,88.7188277045376,0.680827267547667
6725999934.81771,0.1328072,3.03973324876264e-06,88.8420622089767,0.763116839414011
6668552965.48926,0.1328266,2.90248594148557e-06,88.7390128462707,0.692245539683111
6829846058.16591,0.1329787,3.01139830608702e-06,88.3939786147666,0.741845504239787
6590274665.30201,0.1332152,2.9802059110161e-06,88.65682963389,0.680827267547667
6938873311.75202,0.1333072,2.97227486263148e-06,88.8697675711888,0.758165564883342
6581545164.14781,0.1333266,2.90418806926349e-06,88.7407075314616,0.702980649046704
6896383538.14904,0.1337152,3.0423361320181e-06,88.6842307433907,0.692245539683111
6820960396.78417,0.1337681,6.06157812035869e-06,88.7013512249995,0.747082859162741
6826035148.7476,0.1338072,2.92950969410563e-06,88.8671865544833,0.752466072474572
6831616300.78778,0.1338266,3.06483900666543e-06,88.7268568074672,0.713022001381571
6829852820.76987,0.1339787,2.93074635927302e-06,88.4054558790695,0.754867636224009
6695046876.39685,0.1343072,3.0142749635582e-06,88.8709632096511,0.746023986898599
6662489907.07024,0.1343266,3.04532019652127e-06,88.6942943708375,0.722359687085264
6820893920.94804,0.1345681,3.03464227521445e-06,88.6690695102373,0.752500062840766
6746381668.51594,0.1347152,2.99525791266672e-06,88.6643933457745,0.713022001381571
6820855726.02986,0.1347681,2.97256397146911e-06,88.6630604438832,0.754867636224009
6725513373.29309,0.134792,3.05360277731318e-06,88.7462646789973,0.750156033713046
