频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6638584811.68133,0.1301915,9.84332706258251e-07,88.7973685437253,0.774686232698741
6917916973.04453,0.1302166,1.02053819646759e-06,88.6541616384349,0.72197096913894
6986533885.36497,0.1303671,9.22090001250612e-07,88.6149173119666,0.451400448312441
6618428257.92512,0.1306109,3.01069203262513e-06,88.7941360431297,0.700948915070156
6627878981.16137,0.130763,1.05341448659552e-06,88.7167043359376,0.731393571337371
6966623388.36817,0.1308165,9.30186654930216e-07,88.5962379615011,0.469072008109349
6665058887.00863,0.1311826,9.1348204929392e-07,88.9473815305754,0.636425672215031
6567887764.76731,0.1312754,9.14385300861326e-07,88.7288293417325,0.739446863448123
6688483031.14588,0.1316387,9.37889186434258e-07,88.7162623050165,0.776796199817504
6968551160.86501,0.1321411,9.80341534358867e-07,88.7462767553781,0.77602714991846
6698019818.53353,0.1322092,9.73215390446447e-07,88.6975035693899,0.752146892198646
6686592532.50915,0.1322447,3.0386974277e-06,88.4936243567953,0.591166462445961
6968432104.4929,0.1326885,1.04847206177898e-06,88.8014612338438,0.774309061248416
6607889307.22013,0.1327126,1.00707456476182e-06,88.6298619289571,0.757921910397222
6546693590.64359,0.1327501,1.02444903803634e-06,88.5044810148164,0.540669083479351
6817975916.69975,0.133194,2.92819905976054e-06,88.7069212083159,0.767144855157085
6915012386.7044,0.1332362,1.00892071906323e-06,88.9123697980159,0.688466570421483
6976711693.5508,0.1332735,1.08707065947605e-06,88.6067106524627,0.558720153116902
6957965559.26566,0.1336904,9.41805420306054e-07,88.6986778830415,0.766968128204571
6948547594.57026,0.1337073,9.43559013086512e-07,88.8217775345492,0.768675190347247
6695064244.81014,0.1337326,9.27282776284371e-07,88.875592282435,0.699357026272402
6767840871.02527,0.1340908,9.82236777800687e-07,88.6657602395085,0.769838863061545
6748562882.86898,0.1342347,1.07942265736342e-06,88.7229460398287,0.764519857604561
6725090120.91932,0.134287,1.01867856689339e-06,88.9779785105739,0.71071532320708
6866642372.64682,0.1343083,1.04264474742361e-06,88.6034934622395,0.592612213312757
6727976844.70444,0.1346772,1.05502805450445e-06,88.6314510806128,0.773163437750135
6706652922.07121,0.1348097,9.7444535220963e-07,88.6053972891383,0.608141959757023
6657924768.11215,0.1352266,9.22266689989336e-07,88.7279814377288,0.775326077112739
6887845016.47166,0.135686,1.04047161121428e-06,88.6300387961708,0.776425321577852
6955047705.95884,0.1358532,9.95885731359923e-07,88.9280114655499,0.738102840523327
6808015573.09727,0.1362234,1.02586997112743e-06,88.6661635211985,0.776890240189501
6925003775.21115,0.1362706,9.98437081918455e-07,88.9034786017179,0.744205764707662
6948480888.50308,0.1363633,1.00109023537246e-06,88.7213008252433,0.739278998960493
6806583022.99252,0.1364209,1.03017020625036e-06,88.5735930312938,0.653886539068167
6697869256.01125,0.1367138,9.49702271196859e-07,88.6259753276916,0.776541621300296
6915023583.39171,0.136754,1.0829837562641e-06,88.8601407994262,0.750633799482723
6818440118.67213,0.1367897,9.93860585755813e-07,88.7565044930496,0.732616648218067
6777898449.64787,0.1372042,1.08122203975509e-06,88.6346041437362,0.77545579271814
6536528640.52237,0.1373527,1.00767090132475e-06,88.6068843760391,0.67731327873387
6857946638.7527,0.1376966,9.48714162568614e-07,88.6654158794649,0.773624849400545
6775096934.59278,0.1378478,1.02940575230496e-06,88.8606046335714,0.762614571767431
6548514639.86388,0.1379305,9.0489517542464e-07,88.8153218091927,0.712221066285266
6757872345.69459,0.138216,9.60427814222074e-07,88.6688243062121,0.770891096883212
6996600368.53221,0.1382975,2.99026925190839e-06,88.5466622655726,0.731372022564225
6558028237.81681,0.1386374,1.01484992614386e-06,88.7295894114822,0.768069763302034
6565010616.6291,0.1387906,1.01514137677874e-06,88.938632162674,0.770053752196883
6546673391.00291,0.1388369,9.05074476542918e-07,88.5463986979023,0.709805518919573
6808454959.67604,0.1388773,1.0004060799402e-06,88.7218542390242,0.692511227968412
6667885362.15797,0.1390808,9.07424412068726e-07,88.6473318495501,0.764519857604561
6978487072.6087,0.1392797,1.01413180011306e-06,88.7453815313108,0.68338805360707
6887855809.52582,0.1395302,9.9193910823263e-07,88.7210867258529,0.760316480427612
6848401391.42186,0.1397601,1.02557844387595e-06,88.8105898638308,0.671924926033236
6825089629.60514,0.1398104,1.07383369381627e-06,88.9523760364791,0.775058546848027
6887937936.16549,0.1399506,1.04739203535633e-06,88.6755888429199,0.755835523424563
6966682220.34225,0.1399687,9.56313614156422e-07,88.5219481825246,0.730450700040709
7058479432.46994,0.1402105,9.60994351557619e-07,88.7690617969882,0.660621445393079
7426832430.79485,0.1402856,1.95870558431105e-06,88.5980968017392,0.745932649647451
7420152839.50567,0.1403615,1.9310353928664e-06,88.5844410258224,0.756216447448338
7426812313.88691,0.1409266,1.91861199748955e-06,88.6368107277997,0.754070146302157
7420217877.02609,0.1412285,2.02674772847585e-06,88.6237053549953,0.745401109238772
7426791427.28266,0.1417656,1.94778016988137e-06,88.6240361953432,0.76287143591514
7066584626.23793,0.1417843,1.0066621771112e-06,88.6112477117245,0.755819718294545
7420161670.92097,0.1420895,2.01513730875091e-06,88.6724363311241,0.732471969101174
7075046420.40001,0.1421854,1.02394349509369e-06,88.8984494588183,0.774372285895348
7087951864.00984,0.1423526,9.74899116497522e-07,88.6939865736076,0.720234571213915
7426836033.02009,0.1425586,2.00460213915306e-06,88.6850986896536,0.769242132914884
7077969553.52693,0.142869,1.09568985461798e-06,88.6872120045149,0.710407445813199
