频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6419982019,0.122906,2.07E-06,88.45415785,0.12638984
6409952435,0.123179,2.09E-06,88.39031187,0.145277516
6320007814,0.123253,1.91E-06,88.46026507,0.12638984
6429996417,0.123406,2.03E-06,88.45415785,0.150405103
6419987672,0.123741,4.06E-06,88.39031187,0.161842088
6430011967,0.123906,2.09E-06,88.45415785,0.174271935
6430065941,0.124231,2.08E-06,88.39031187,0.19536949
6330093095,0.124253,2.02E-06,88.46026507,0.174271935
6430099528,0.124606,1.93E-06,88.45415785,0.20739132
6410070936,0.124806,2.01E-06,88.39031187,0.222401846
6329948627,0.124953,1.94E-06,88.46026507,0.20739132
6409923002,0.125306,1.91E-06,88.45415785,0.240109583
6420091554,0.125394,2.09E-06,88.39031187,0.249744918
6310046999,0.125653,1.92E-06,88.46026507,0.240109583
6409994889,0.125906,2.02E-06,88.45415785,0.267786557
6430042290,0.125933,2.02E-06,88.39031187,0.274510876
6309982825,0.126253,2.01E-06,88.46026507,0.267786557
6410008209,0.126447,1.90E-06,88.39031187,0.29783529
6410019908,0.126506,1.95E-06,88.45415785,0.295082991
6310003522,0.126853,2.09E-06,88.46026507,0.295082991
6420064777,0.127006,1.99E-06,88.45415785,0.317511327
6420066532,0.12709,2.08E-06,88.39031187,0.326573329
6320046180,0.127353,1.93E-06,88.46026507,0.317511327
6419917597,0.127506,1.93E-06,88.45415785,0.339626317
6430082553,0.127591,1.99E-06,88.39031187,0.348597812
6319966697,0.127853,2.07E-06,88.46026507,0.339626317
6410023305,0.128148,1.98E-06,88.39031187,0.3726777
6420095654,0.128206,1.94E-06,88.45415785,0.370019392
6319915827,0.128553,1.91E-06,88.46026507,0.370019392
6419997811,0.128755,2.08E-06,88.39031187,0.398398458
6430023391,0.128906,1.98E-06,88.45415785,0.399696801
6330021988,0.129253,2.10E-06,88.46026507,0.399696801
6429920442,0.129323,1.95E-06,88.39031187,0.421942576
6429910339,0.129506,2.01E-06,88.45415785,0.424521419
6329951616,0.129853,2.06E-06,88.46026507,0.424521419
6410030784,0.129975,2.04E-06,88.39031187,0.448304345
6529961252,0.130123,1.92E-06,88.44179694,0.448742768
6520052863,0.130271,1.98E-06,88.39693273,0.411520096
6509908072,0.130623,1.93E-06,88.44179694,0.468441537
6529907033,0.130981,2.01E-06,88.39693273,0.440496938
6509959714,0.131123,1.97E-06,88.44179694,0.487678011
6509970027,0.131485,1.95E-06,88.39693273,0.460537806
6509977695,0.131823,2.09E-06,88.44179694,0.513796362
6519952231,0.132013,1.92E-06,88.39693273,0.48103736
6520004694,0.132523,1.96E-06,88.44179694,0.538920964
6530023989,0.132614,1.95E-06,88.39693273,0.503725669
6519905232,0.133123,2.03E-06,88.44179694,0.559628505
6510077773,0.133185,1.98E-06,88.39693273,0.524616609
6520061904,0.133723,3.92E-06,88.44179694,0.562689266
6529919159,0.134223,2.05E-06,88.44179694,0.595506406
6529931116,0.13439,2.08E-06,88.39693273,0.566455944
6529907831,0.134723,2.07E-06,88.44179694,0.610884336
6510087449,0.134884,2.03E-06,88.39693273,0.582683327
6530099252,0.135423,1.97E-06,88.44179694,0.631397332
6519985558,0.13558,2.09E-06,88.39693273,0.604590148
6509902100,0.136123,3.91E-06,88.44179694,0.636862274
